sample_id,true_label,predicted_label,true_label_encoded,predicted_label_encoded,winning_proportion,decision_margin,is_correct,num_classes_voted,num_neighbors,neighbor_distance_mean,neighbor_distance_std,neighbor_indices,neighbor_distances
42,8,8,49,49,1.0,1.0,True,1,3,0.5772198438644409,0.04646691463229006,"[48, 51, 52]","[0.5115517973899841, 0.6079226732254028, 0.6121850609779358]"
43,8,8,49,49,1.0,1.0,True,1,3,0.4279553294181824,0.03304396694446518,"[53, 51, 49]","[0.40176573395729065, 0.4075324535369873, 0.47456780076026917]"
44,12,12,1,1,1.0,1.0,True,1,3,0.7196247577667236,0.022578179315203225,"[63, 60, 58]","[0.6884654760360718, 0.7291640639305115, 0.7412447333335876]"
45,12,12,1,1,1.0,1.0,True,1,3,0.6391404271125793,0.0024521987818407385,"[58, 56, 63]","[0.6370896100997925, 0.6377439498901367, 0.6425877213478088]"
46,12,12,1,1,1.0,1.0,True,1,3,0.7952357133229574,0.014624481177559458,"[56, 63, 61]","[0.777182400226593, 0.7955232858657837, 0.8130014538764954]"
47,12,12,1,1,1.0,1.0,True,1,3,0.458538939555486,0.0123185858159884,"[63, 64, 56]","[0.44849005341529846, 0.4512391686439514, 0.47588759660720825]"
48,12,12,1,1,1.0,1.0,True,1,3,0.5524933934211731,0.03695861946966636,"[58, 64, 56]","[0.5002552270889282, 0.5770992636680603, 0.5801256895065308]"
49,12,12,1,1,1.0,1.0,True,1,3,0.7718374729156494,0.040990947098905314,"[58, 60, 64]","[0.7329684495925903, 0.7540256977081299, 0.828518271446228]"
50,12,12,1,1,1.0,1.0,True,1,3,0.5422500570615133,0.007316929273244713,"[60, 58, 63]","[0.5320749282836914, 0.5457078218460083, 0.5489674210548401]"
51,12,12,1,1,1.0,1.0,True,1,3,0.5451960066954294,0.049647482741897925,"[58, 63, 64]","[0.49994662404060364, 0.5213268399238586, 0.6143145561218262]"
52,12,12,1,1,1.0,1.0,True,1,3,0.6707267562548319,0.046562038963860214,"[64, 56, 63]","[0.6166351437568665, 0.6652516722679138, 0.7302934527397156]"
53,12,12,1,1,1.0,1.0,True,1,3,0.534190316994985,0.030710081704766946,"[63, 64, 58]","[0.49174267053604126, 0.5474572777748108, 0.5633710026741028]"
54,13,13,2,2,1.0,1.0,True,1,3,0.5465973913669586,0.034437852571568006,"[74, 67, 69]","[0.49810460209846497, 0.5669341087341309, 0.57475346326828]"
55,13,13,2,2,1.0,1.0,True,1,3,0.6370935042699178,0.015344641841950139,"[69, 73, 74]","[0.621633768081665, 0.6316349506378174, 0.658011794090271]"
56,13,13,2,2,1.0,1.0,True,1,3,0.6411539316177368,0.013928816779328775,"[70, 73, 65]","[0.6215282082557678, 0.6495035290718079, 0.6524300575256348]"
57,13,13,2,2,1.0,1.0,True,1,3,0.646791954835256,0.009094351626138437,"[65, 67, 73]","[0.6403019428253174, 0.6404207944869995, 0.6596531271934509]"
58,13,13,2,2,1.0,1.0,True,1,3,0.6703894337018331,0.04030754017257099,"[71, 66, 68]","[0.6237990260124207, 0.6652408838272095, 0.7221283912658691]"
59,13,13,2,2,1.0,1.0,True,1,3,0.5619921485582987,0.006348934577430801,"[74, 70, 67]","[0.5530150532722473, 0.5663314461708069, 0.566629946231842]"
60,13,13,2,2,1.0,1.0,True,1,3,0.6800316572189331,0.011504235036480483,"[71, 65, 69]","[0.667951762676239, 0.6766334772109985, 0.6955097317695618]"
61,13,13,2,2,1.0,1.0,True,1,3,0.7111705541610718,0.017275204562287053,"[65, 69, 72]","[0.6892836093902588, 0.7127134799957275, 0.731514573097229]"
62,13,13,2,2,1.0,1.0,True,1,3,0.6214314301808676,0.050458452765334914,"[65, 73, 70]","[0.5501714944839478, 0.6538057327270508, 0.660317063331604]"
63,13,13,2,2,1.0,1.0,True,1,3,0.5948068102200826,0.012985846004919005,"[71, 73, 74]","[0.5764692425727844, 0.6031104326248169, 0.6048407554626465]"
64,15,15,4,4,1.0,1.0,True,1,3,0.587501327196757,0.027701704151661594,"[87, 86, 89]","[0.5500587224960327, 0.5962418913841248, 0.6162033677101135]"
65,15,15,4,4,1.0,1.0,True,1,3,0.71161021788915,0.017601115375821007,"[89, 90, 87]","[0.6870112419128418, 0.7206132411956787, 0.7272061705589294]"
66,15,15,4,4,1.0,1.0,True,1,3,0.573621928691864,0.04642485836530936,"[93, 88, 87]","[0.5096533298492432, 0.5928032994270325, 0.6184091567993164]"
67,15,15,4,4,1.0,1.0,True,1,3,0.5789533456166586,0.026108430720829447,"[88, 87, 91]","[0.5517156720161438, 0.5709838271141052, 0.6141605377197266]"
68,15,15,4,4,1.0,1.0,True,1,3,0.48214547832806903,0.006696330762464235,"[87, 89, 88]","[0.4726763069629669, 0.4867688715457916, 0.4869912564754486]"
69,15,56,4,36,1.0,1.0,False,1,3,0.9353479544321696,0.009733262204813917,"[360, 356, 358]","[0.9273186326026917, 0.9296800494194031, 0.9490451812744141]"
70,15,15,4,4,1.0,1.0,True,1,3,0.693767249584198,0.030398915948689292,"[92, 88, 91]","[0.6507939100265503, 0.7142002582550049, 0.7163075804710388]"
71,15,15,4,4,1.0,1.0,True,1,3,0.4281109770139058,0.0553794752550322,"[88, 87, 86]","[0.37186747789382935, 0.40903282165527344, 0.5034326314926147]"
72,15,15,4,4,1.0,1.0,True,1,3,0.5581413408120474,0.05020208422274255,"[88, 87, 86]","[0.4941323697566986, 0.5635467171669006, 0.6167449355125427]"
73,15,15,4,4,1.0,1.0,True,1,3,0.5056435068448385,0.006519805700609127,"[87, 86, 88]","[0.5002802610397339, 0.5018298625946045, 0.514820396900177]"
74,17,17,5,5,1.0,1.0,True,1,3,0.6831973989804586,0.05200392052727107,"[97, 94, 95]","[0.6293190717697144, 0.66678386926651, 0.7534892559051514]"
75,17,17,5,5,1.0,1.0,True,1,3,0.6730783979098002,0.04452948731710117,"[94, 96, 98]","[0.6360724568367004, 0.6474539041519165, 0.7357088327407837]"
76,17,17,5,5,1.0,1.0,True,1,3,0.7389594117800394,0.07810489658975087,"[94, 97, 96]","[0.6420682072639465, 0.7414742708206177, 0.8333357572555542]"
77,17,17,5,5,1.0,1.0,True,1,3,0.6971765955289205,0.10544739663481585,"[97, 95, 94]","[0.5893709659576416, 0.6618483066558838, 0.8403105139732361]"
78,17,17,5,5,1.0,1.0,True,1,3,0.6948908766110738,0.048790215831387256,"[97, 94, 95]","[0.6259002089500427, 0.7284148335456848, 0.7303575873374939]"
79,17,17,5,5,1.0,1.0,True,1,3,0.6836179494857788,0.08794433189305045,"[97, 95, 94]","[0.5610224604606628, 0.7267754673957825, 0.7630559206008911]"
80,17,17,5,5,1.0,1.0,True,1,3,0.6450869639714559,0.05852326068891191,"[97, 95, 94]","[0.5846078991889954, 0.6263962388038635, 0.7242567539215088]"
81,18,18,6,6,1.0,1.0,True,1,3,0.41048839688301086,0.02580517467862503,"[109, 100, 106]","[0.37405627965927124, 0.42686429619789124, 0.4305446147918701]"
82,18,18,6,6,1.0,1.0,True,1,3,0.37179969747861225,0.04449335507907224,"[109, 100, 106]","[0.31000980734825134, 0.39239925146102905, 0.4129900336265564]"
83,18,18,6,6,1.0,1.0,True,1,3,0.4348500370979309,0.01933408629889649,"[100, 106, 107]","[0.4082338511943817, 0.4427364766597748, 0.45357978343963623]"
84,18,18,6,6,1.0,1.0,True,1,3,0.37823907534281415,0.013375190892176031,"[106, 104, 100]","[0.3666553199291229, 0.37108081579208374, 0.3969810903072357]"
85,18,18,6,6,1.0,1.0,True,1,3,0.6329820156097412,0.04701203894564788,"[105, 108, 101]","[0.5956991910934448, 0.6039506793022156, 0.6992961764335632]"
86,18,18,6,6,1.0,1.0,True,1,3,0.36402445038159686,0.03454785623476071,"[107, 109, 100]","[0.3159712255001068, 0.38040271401405334, 0.3956994116306305]"
87,18,18,6,6,1.0,1.0,True,1,3,0.3569016059239705,0.003581739012648842,"[109, 106, 104]","[0.35183754563331604, 0.35933488607406616, 0.3595323860645294]"
88,18,18,6,6,1.0,1.0,True,1,3,0.3847615122795105,0.028301297135419616,"[106, 100, 109]","[0.3449598252773285, 0.40101346373558044, 0.40831124782562256]"
89,18,18,6,6,1.0,1.0,True,1,3,0.6344467004140218,0.01993304077192454,"[104, 109, 103]","[0.606900691986084, 0.643032968044281, 0.6534064412117004]"
90,18,18,6,6,1.0,1.0,True,1,3,0.5957530538241068,0.027852651501683288,"[108, 101, 105]","[0.5571337342262268, 0.6083495616912842, 0.6217758655548096]"
91,19,19,7,7,1.0,1.0,True,1,3,0.6900506814320883,0.008494979005650646,"[113, 117, 118]","[0.6811316609382629, 0.6875398755073547, 0.701480507850647]"
92,19,19,7,7,1.0,1.0,True,1,3,0.6616910099983215,0.02389622913072518,"[118, 113, 111]","[0.6339069604873657, 0.6589223146438599, 0.692243754863739]"
93,19,19,7,7,1.0,1.0,True,1,3,0.5818419853846232,0.02840451967010517,"[116, 119, 118]","[0.5464913249015808, 0.5829954147338867, 0.6160392165184021]"
94,19,19,7,7,1.0,1.0,True,1,3,0.623691995938619,0.02818964728496376,"[111, 113, 118]","[0.5937530398368835, 0.6158639192581177, 0.6614590287208557]"
95,19,19,7,7,1.0,1.0,True,1,3,0.495446374018987,0.030637784900232796,"[118, 119, 111]","[0.4556531608104706, 0.500497579574585, 0.5301883816719055]"
96,19,19,7,7,1.0,1.0,True,1,3,0.8914419611295065,0.048304888476718946,"[117, 114, 118]","[0.8560222387313843, 0.858564019203186, 0.959739625453949]"
97,19,19,7,7,1.0,1.0,True,1,3,0.7421507438023885,0.031044566771634537,"[117, 118, 113]","[0.7072296142578125, 0.7365671396255493, 0.7826554775238037]"
98,19,19,7,7,1.0,1.0,True,1,3,0.5468436479568481,0.034147558364685686,"[118, 117, 119]","[0.5039684772491455, 0.5490361452102661, 0.5875263214111328]"
99,19,19,7,7,1.0,1.0,True,1,3,0.5715877215067545,0.01969778032759219,"[119, 113, 117]","[0.543764591217041, 0.5843123197555542, 0.5866862535476685]"
100,19,19,7,7,1.0,1.0,True,1,3,0.5631569425264994,0.0755342956966447,"[118, 117, 119]","[0.45703601837158203, 0.6056388020515442, 0.6267960071563721]"
101,21,21,8,8,1.0,1.0,True,1,3,0.6453086336453756,0.030200183466382795,"[125, 123, 126]","[0.6028191447257996, 0.6628038287162781, 0.6703029274940491]"
102,21,21,8,8,1.0,1.0,True,1,3,0.4965722858905792,0.016749823695509116,"[129, 121, 120]","[0.4779083728790283, 0.4932717978954315, 0.5185366868972778]"
103,21,21,8,8,1.0,1.0,True,1,3,0.41660738984743756,0.04327881006569022,"[125, 126, 124]","[0.3567093312740326, 0.43565917015075684, 0.4574536681175232]"
104,21,21,8,8,1.0,1.0,True,1,3,0.4814217785994212,0.0059135495602992685,"[125, 126, 124]","[0.4739280343055725, 0.48195338249206543, 0.4883839190006256]"
105,21,21,8,8,1.0,1.0,True,1,3,0.47795602679252625,0.004430306988354706,"[129, 126, 122]","[0.47229069471359253, 0.4784714877605438, 0.4831058979034424]"
106,21,21,8,8,1.0,1.0,True,1,3,0.4599754909674327,0.02791073830236555,"[126, 122, 124]","[0.42080849409103394, 0.47531944513320923, 0.4837985336780548]"
107,21,21,8,8,1.0,1.0,True,1,3,0.4644247790177663,0.06280223102191984,"[126, 122, 123]","[0.37871667742729187, 0.4871102571487427, 0.5274474024772644]"
108,21,21,8,8,1.0,1.0,True,1,3,0.41635075211524963,0.04788992370693976,"[123, 122, 126]","[0.3494175970554352, 0.440865695476532, 0.45876896381378174]"
109,21,21,8,8,1.0,1.0,True,1,3,0.5227403144041697,0.033631964720373664,"[121, 129, 122]","[0.48189839720726013, 0.5220516324043274, 0.5642709136009216]"
110,21,21,8,8,1.0,1.0,True,1,3,0.6361260016759237,0.06875130836266621,"[125, 124, 129]","[0.5416399240493774, 0.6635095477104187, 0.7032285332679749]"
111,22,22,9,9,1.0,1.0,True,1,3,0.5835045576095581,0.012843149858303454,"[136, 132, 133]","[0.5660128593444824, 0.5880136489868164, 0.5964871644973755]"
112,22,22,9,9,1.0,1.0,True,1,3,0.5195363263289133,0.07141379310661275,"[136, 133, 132]","[0.4185745418071747, 0.5677961111068726, 0.5722383260726929]"
113,22,22,9,9,1.0,1.0,True,1,3,0.6050408482551575,0.04294480815066271,"[130, 134, 136]","[0.5457884669303894, 0.6231235861778259, 0.6462104916572571]"
114,22,22,9,9,1.0,1.0,True,1,3,0.6830101807912191,0.030923434659564805,"[132, 133, 137]","[0.6468112468719482, 0.679858386516571, 0.7223609089851379]"
115,22,22,9,9,1.0,1.0,True,1,3,0.6937543352444967,0.0042965224240735095,"[135, 136, 133]","[0.6899266242980957, 0.6915814280509949, 0.6997549533843994]"
116,22,22,9,9,1.0,1.0,True,1,3,0.6252943277359009,0.019375356656109177,"[136, 133, 132]","[0.5992069840431213, 0.6310788989067078, 0.6455971002578735]"
117,22,22,9,9,1.0,1.0,True,1,3,0.6283680200576782,0.04287175255929202,"[137, 134, 130]","[0.568250298500061, 0.6516169309616089, 0.6652368307113647]"
118,22,22,9,9,1.0,1.0,True,1,3,0.8648526668548584,0.027384748818965677,"[130, 136, 133]","[0.8336546421051025, 0.8605796098709106, 0.900323748588562]"
119,22,22,9,9,1.0,1.0,True,1,3,0.7225556969642639,0.052393833273550426,"[130, 132, 137]","[0.6496105790138245, 0.7477620244026184, 0.7702944874763489]"
120,22,22,9,9,1.0,1.0,True,1,3,0.7240967154502869,0.033572409736043224,"[137, 136, 134]","[0.6775598526000977, 0.7392165064811707, 0.7555137872695923]"
121,23,23,10,10,1.0,1.0,True,1,3,0.43562636772791546,0.03667690650067128,"[144, 147, 145]","[0.3844839036464691, 0.45370563864707947, 0.46868956089019775]"
122,23,23,10,10,1.0,1.0,True,1,3,0.5888605813185374,0.07837529941561514,"[139, 144, 138]","[0.4787028729915619, 0.6333097219467163, 0.654569149017334]"
123,23,23,10,10,1.0,1.0,True,1,3,0.4154728651046753,0.1938359140340597,"[147, 146, 144]","[0.1434810757637024, 0.5219070911407471, 0.5810304284095764]"
124,23,23,10,10,1.0,1.0,True,1,3,0.3031483789285024,0.05289397045948621,"[142, 141, 144]","[0.22895345091819763, 0.33200007677078247, 0.3484916090965271]"
125,23,23,10,10,1.0,1.0,True,1,3,0.5454615851243337,0.05618176083120192,"[143, 144, 140]","[0.4662732779979706, 0.5794437527656555, 0.590667724609375]"
126,23,23,10,10,1.0,1.0,True,1,3,0.4855954945087433,0.14364277543963447,"[145, 144, 146]","[0.28409531712532043, 0.5640267729759216, 0.6086643934249878]"
127,23,23,10,10,1.0,1.0,True,1,3,0.6404675245285034,0.006160217327195323,"[143, 144, 145]","[0.6330884695053101, 0.6401464939117432, 0.648167610168457]"
128,23,23,10,10,1.0,1.0,True,1,3,0.46342090765635174,0.021986489520028053,"[144, 147, 146]","[0.43266022205352783, 0.4748713970184326, 0.4827311038970947]"
129,23,23,10,10,1.0,1.0,True,1,3,0.6130859057108561,0.027653893637694462,"[147, 146, 140]","[0.588581919670105, 0.598941445350647, 0.6517343521118164]"
130,23,23,10,10,1.0,1.0,True,1,3,0.5298591454823812,0.020898335541694527,"[141, 142, 144]","[0.5010409355163574, 0.5385898947715759, 0.5499466061592102]"
131,24,24,11,11,1.0,1.0,True,1,3,0.6549136439959208,0.011898612602975223,"[153, 152, 150]","[0.6448185443878174, 0.6483021974563599, 0.6716201901435852]"
132,24,24,11,11,1.0,1.0,True,1,3,0.7447259227434794,0.015429199927657703,"[149, 154, 153]","[0.7298761606216431, 0.7383050918579102, 0.765996515750885]"
133,24,24,11,11,1.0,1.0,True,1,3,0.6278783281644186,0.02639170501495845,"[150, 156, 151]","[0.5905559062957764, 0.646293044090271, 0.6467860341072083]"
134,24,24,11,11,1.0,1.0,True,1,3,0.6287407477696737,0.019349575437989257,"[157, 154, 149]","[0.6088365316390991, 0.622430145740509, 0.6549555659294128]"
135,24,24,11,11,1.0,1.0,True,1,3,0.6116624673207601,0.009167223119299635,"[152, 157, 151]","[0.5992735624313354, 0.6145488619804382, 0.6211649775505066]"
136,24,24,11,11,1.0,1.0,True,1,3,0.49038870135943097,0.029231683469526943,"[155, 152, 150]","[0.45102250576019287, 0.4991418421268463, 0.5210017561912537]"
137,24,24,11,11,1.0,1.0,True,1,3,0.6010931928952535,0.026747943238049826,"[155, 150, 152]","[0.5671115517616272, 0.6036925315856934, 0.6324754953384399]"
138,24,24,11,11,1.0,1.0,True,1,3,0.45414213339487713,0.030138354546404036,"[152, 155, 153]","[0.4115239083766937, 0.4749554693698883, 0.4759470224380493]"
139,24,24,11,11,1.0,1.0,True,1,3,0.572625458240509,0.006506323171884878,"[154, 150, 152]","[0.5673448443412781, 0.5687400698661804, 0.5817914605140686]"
140,25,25,12,12,0.6666666666666666,0.3333333333333333,True,2,3,0.9402899940808614,0.01821591820040622,"[72, 162, 159]","[0.9218938946723938, 0.9338701963424683, 0.9651058912277222]"
141,25,25,12,12,1.0,1.0,True,1,3,0.8171937465667725,0.026985790560745317,"[163, 159, 166]","[0.788654088973999, 0.8095212578773499, 0.8534058928489685]"
142,25,25,12,12,1.0,1.0,True,1,3,0.7382404605547587,0.039023060935149435,"[163, 159, 161]","[0.6967862844467163, 0.7274181842803955, 0.7905169129371643]"
143,25,25,12,12,1.0,1.0,True,1,3,0.6817669669787089,0.016043206058923988,"[159, 163, 162]","[0.6596971750259399, 0.6882444620132446, 0.6973592638969421]"
144,25,25,12,12,1.0,1.0,True,1,3,0.5280717015266418,0.22604742222762803,"[164, 163, 165]","[0.20986497402191162, 0.6606323719024658, 0.7137177586555481]"
145,25,25,12,12,1.0,1.0,True,1,3,0.6046390136082967,0.05459501845046097,"[165, 163, 159]","[0.5315033197402954, 0.6197755336761475, 0.6626381874084473]"
146,25,25,12,12,1.0,1.0,True,1,3,0.772231916586558,0.04756128532658919,"[160, 159, 158]","[0.706166684627533, 0.7943259477615356, 0.8162031173706055]"
147,25,25,12,12,1.0,1.0,True,1,3,0.5231512188911438,0.10828163745388086,"[165, 159, 163]","[0.3724418878555298, 0.5750028491020203, 0.6220089197158813]"
148,25,25,12,12,1.0,1.0,True,1,3,0.6669928431510925,0.04258467500056715,"[165, 164, 163]","[0.6178622245788574, 0.6613949537277222, 0.721721351146698]"
149,28,28,14,14,1.0,1.0,True,1,3,0.7452372709910074,0.009119518089178857,"[183, 179, 178]","[0.7347081303596497, 0.7440519332885742, 0.7569517493247986]"
150,28,28,14,14,1.0,1.0,True,1,3,0.7044742107391357,0.015098241842951821,"[179, 183, 186]","[0.6831222176551819, 0.7150819897651672, 0.7152184247970581]"
151,28,28,14,14,1.0,1.0,True,1,3,0.7674453655878702,0.05461293561608595,"[177, 181, 184]","[0.6909468173980713, 0.7964838743209839, 0.8149054050445557]"
152,28,28,14,14,1.0,1.0,True,1,3,0.6517252326011658,0.05543712842098285,"[184, 180, 181]","[0.5735803246498108, 0.6853256821632385, 0.696269690990448]"
153,28,28,14,14,1.0,1.0,True,1,3,0.5497208635012308,0.058287993358058864,"[180, 184, 183]","[0.5050746202468872, 0.5120334029197693, 0.6320545673370361]"
154,28,28,14,14,1.0,1.0,True,1,3,0.5503542025883993,0.04722826937592803,"[180, 184, 177]","[0.5117014050483704, 0.5225082039833069, 0.6168529987335205]"
155,28,28,14,14,1.0,1.0,True,1,3,0.6304185390472412,0.019266258906379702,"[183, 185, 180]","[0.6047291159629822, 0.6354004740715027, 0.6511260271072388]"
156,28,28,14,14,1.0,1.0,True,1,3,0.6234190066655477,0.027876990886187985,"[180, 184, 186]","[0.6008267402648926, 0.606735110282898, 0.6626951694488525]"
157,28,28,14,14,1.0,1.0,True,1,3,0.5971824924151102,0.038757167083301326,"[184, 183, 181]","[0.5515434741973877, 0.5937153697013855, 0.6462886333465576]"
158,28,28,14,14,1.0,1.0,True,1,3,0.6183428565661112,0.01610523895893272,"[184, 180, 183]","[0.5973572134971619, 0.6211695075035095, 0.6365018486976624]"
159,31,31,16,16,1.0,1.0,True,1,3,0.6541361411412557,0.016257496974996573,"[191, 194, 189]","[0.6341051459312439, 0.6543777585029602, 0.673925518989563]"
160,31,31,16,16,1.0,1.0,True,1,3,0.6583597858746847,0.012010772349512512,"[193, 189, 191]","[0.6413739919662476, 0.666843593120575, 0.6668617725372314]"
161,31,31,16,16,1.0,1.0,True,1,3,0.5752397576967875,0.046560436253937715,"[193, 190, 192]","[0.5094585418701172, 0.6055936217308044, 0.6106671094894409]"
